4|19|15|N
66|42|28|N
177|51|18|N
11|1|37|S
130|53|23|N
21|31|0|N
147|17|31|S
128|7|42|S
12|10|51|S
124|24|46|N
79|10|55|N
81|5|59|S
87|17|59|S
142|54|0|N
101|43|37|S
138|7|22|S
134|43|47|N
111|12|0|S
103|13|33|S
19|57|57|S
5|53|9|S
123|47|59|S
15|55|30|N
171|48|0|S
145|25|22|N
115|59|45|S
27|45|28|N
56|55|48|S
7|17|18|N
137|57|28|N
93|17|24|N
19|44|23|N
60|51|55|N
51|45|25|S
112|38|13|S
72|55|24|S
172|30|35|S
140|26|59|S
37|30|0|S
170|45|19|N
10|22|56|N
114|50|59|S
110|5|59|N
46|1|48|S
81|45|0|N
153|18|0|S
28|11|34|S
94|32|42|N
5|30|31|N
131|34|48|S
62|17|59|N
76|25|25|N
91|51|19|S
84|58|38|N
32|36|0|N
49|4|0|S
102|42|35|S
13|10|48|S
127|27|32|N
62|6|17|S
141|24|0|S
106|12|35|S
114|41|28|S
123|58|48|S
95|19|13|S
29|57|0|N
135|25|40|N
148|59|25|N
102|55|5|N
98|31|19|N
9|55|12|N
56|33|53|N
146|22|40|N
63|17|56|N
13|21|36|N
8|49|51|N
50|6|0|N
36|35|55|N
69|24|10|S
1|53|41|S
149|48|0|S
164|34|19|S
103|32|45|N
53|33|36|N
76|42|25|S
179|18|0|S
23|11|59|S
172|38|5|S
158|4|1|S
32|24|0|N
86|55|59|N
23|54|0|S
125|34|37|N
168|52|8|N
65|47|59|S
61|42|0|S
5|22|48|S
176|48|0|N
23|54|0|S
46|30|44|N
114|37|4|S
106|48|26|N
169|35|59|S
98|17|24|S
111|8|10|S
63|9|35|S
69|6|3|N
115|4|1|N
132|35|59|N
101|54|47|N
68|13|8|S
15|48|27|N
165|41|59|S
43|47|31|S
83|31|20|N
129|0|17|N
132|15|35|N
77|52|14|S
137|2|16|S
68|40|48|N
175|47|34|N
141|58|33|N
34|42|0|N
65|24|0|S
83|30|36|S
74|34|26|N
38|41|23|N
5|18|0|S
1|42|0|S
174|11|59|N
118|1|46|S
107|41|34|N
116|7|14|S
109|54|0|S
64|45|36|S
9|25|37|S
71|41|26|N
99|20|15|N
80|29|59|N
11|25|48|N
47|22|19|N
60|38|27|S
13|45|46|N
87|12|0|S
63|1|48|N
155|20|17|N
21|32|45|N
158|13|11|N
95|40|12|S
106|17|24|S
155|26|56|S
56|37|37|N
160|18|0|N
169|18|36|S
160|9|18|S
57|57|21|S
112|58|3|S
178|30|26|N
177|36|26|S
51|54|5|N
169|56|31|N
32|47|59|N
11|42|39|N
104|30|35|S
84|22|44|N
175|19|30|N
137|43|40|N
55|34|44|S
47|8|24|S
150|50|38|N
30|16|12|N
39|28|8|S
155|5|59|S
111|35|59|S
30|19|24|S
21|15|17|S
158|41|2|S
154|43|47|N
88|33|9|N
42|54|0|N
61|19|44|N
68|32|59|S
99|26|2|S
48|30|0|N
150|58|12|N
103|31|33|S
60|47|42|S
149|54|0|S
36|41|31|N
45|15|3|S
12|24|36|N
25|34|12|S
35|34|4|S
51|20|24|S
135|49|21|S
88|54|0|N
56|31|48|S
35|42|48|S
65|54|0|S
124|24|53|S
40|17|59|N
102|38|24|N
141|14|6|S
6|23|17|N
52|24|0|N
177|58|21|N
12|22|1|S
67|26|23|N
55|0|37|N
147|35|59|S
49|24|6|S
133|54|10|S
34|7|52|S
15|31|44|N
160|1|12|S
14|39|1|N
97|20|57|N
110|24|31|S
140|59|30|S
98|35|45|N
176|24|48|N
68|56|2|N
66|12|0|N
157|46|19|N
105|24|0|S
65|21|37|S
18|7|26|S
176|35|59|N
90|23|53|N
28|42|0|N
79|42|0|S
143|34|57|N
156|55|43|N
31|36|25|N
72|53|31|N
60|28|56|N
39|15|35|S
122|10|12|N
63|48|29|N
12|34|48|N
17|11|5|S
175|39|57|S
27|42|0|S
115|6|49|N
21|49|1|S
131|42|37|N
74|24|0|N
43|3|21|S
41|57|7|S
10|8|31|S
27|15|32|N
15|7|53|S
61|47|59|S
112|30|26|N
133|4|58|S
150|22|47|S
75|12|21|N
97|30|20|S
73|30|0|S
102|31|48|S
135|49|40|N
22|5|21|N
114|22|55|S
118|12|0|N
69|24|0|S
69|18|16|S
86|15|0|S
1|1|12|N
171|35|59|S
77|45|47|S
131|24|0|S
42|27|57|N
62|42|17|S
164|8|50|N
39|41|53|S
115|47|59|S
34|43|12|S
100|10|27|S
150|11|59|N
106|59|13|N
59|21|36|N
178|16|48|N
25|6|0|S
4|18|1|S
146|38|29|S
25|42|0|S
85|12|0|S
123|4|47|N
49|58|21|N
109|29|51|S
177|32|34|S
107|54|15|N
179|55|52|N
56|24|0|N
7|32|32|S
86|50|38|N
97|26|49|N
67|4|9|N
78|42|0|N
150|10|56|N
179|2|31|N
150|34|33|S
175|18|0|S
120|43|4|S
12|54|0|N
20|24|0|N
140|44|27|S
70|46|4|N
110|54|0|N
165|14|38|S
119|44|35|N
179|30|47|N
156|25|11|N
69|52|40|S
55|55|10|N
18|48|0|N
9|20|31|N
65|45|14|N
115|58|29|N
91|21|36|N
144|48|0|N
50|54|0|N
39|38|39|N
36|56|23|S
139|48|24|S
137|35|29|S
156|45|26|S
179|36|32|S
24|40|8|N
99|28|35|N
81|23|52|N
35|58|1|N
78|42|0|N
72|59|20|S
67|5|49|S
54|54|0|N
